样本ID | P | R | F1
legal_question_answering_42137 | 0.7735 | 0.7244 | 0.7481
legal_question_answering_34462 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_29507 | 0.7378 | 0.7713 | 0.7542
legal_question_answering_13436 | 0.6943 | 0.7014 | 0.6978
legal_question_answering_8438 | 0.6877 | 0.7248 | 0.7058
legal_question_answering_52839 | 0.5669 | 0.7967 | 0.6624
legal_question_answering_34495 | 0.6822 | 0.6814 | 0.6818
legal_question_answering_32845 | 0.7229 | 0.7556 | 0.7389
legal_question_answering_60966 | 0.5821 | 0.6439 | 0.6114
legal_question_answering_4208 | 0.6570 | 0.6641 | 0.6605
legal_question_answering_77748 | 0.7576 | 0.7819 | 0.7695
legal_question_answering_60459 | 0.6091 | 0.6239 | 0.6164
legal_question_answering_62024 | 0.6445 | 0.7040 | 0.6729
legal_question_answering_48924 | 0.6881 | 0.7304 | 0.7086
legal_question_answering_30218 | 0.7609 | 0.7362 | 0.7484
legal_question_answering_46866 | 0.7461 | 0.8103 | 0.7769
legal_question_answering_52539 | 0.5289 | 0.3211 | 0.3996
legal_question_answering_22348 | 0.8005 | 0.7388 | 0.7684
legal_question_answering_10591 | 0.7814 | 0.7731 | 0.7772
legal_question_answering_73712 | 0.4409 | 0.7911 | 0.5662
legal_question_answering_11313 | 0.7232 | 0.7687 | 0.7453
legal_question_answering_66960 | 0.4610 | 0.7930 | 0.5831
legal_question_answering_66312 | 0.6475 | 0.6409 | 0.6442
legal_question_answering_19935 | 0.7052 | 0.7902 | 0.7453
legal_question_answering_46084 | 0.6378 | 0.6547 | 0.6461
legal_question_answering_77622 | 0.6847 | 0.6032 | 0.6414
legal_question_answering_73043 | 0.3728 | 0.5815 | 0.4544
legal_question_answering_12655 | 0.7805 | 0.7631 | 0.7717
legal_question_answering_9009 | 0.7972 | 0.7450 | 0.7702
legal_question_answering_10705 | 0.7921 | 0.5976 | 0.6812
legal_question_answering_45810 | 0.7946 | 0.7311 | 0.7615
legal_question_answering_48582 | 0.7210 | 0.8398 | 0.7759
legal_question_answering_28635 | 0.6885 | 0.7213 | 0.7046
legal_question_answering_29519 | 0.7686 | 0.7562 | 0.7623
legal_question_answering_44895 | 0.7075 | 0.6883 | 0.6978
legal_question_answering_78387 | 0.6147 | 0.9245 | 0.7384
legal_question_answering_77946 | 0.9365 | 0.8842 | 0.9096
legal_question_answering_45862 | 0.7156 | 0.7230 | 0.7193
legal_question_answering_267 | 0.6860 | 0.6295 | 0.6566
legal_question_answering_50597 | 0.7782 | 0.7469 | 0.7622
legal_question_answering_51197 | 0.5285 | 0.6726 | 0.5919
legal_question_answering_58694 | 0.6317 | 0.6711 | 0.6508
legal_question_answering_69450 | 0.4134 | 0.5448 | 0.4701
legal_question_answering_36856 | 0.6206 | 0.6024 | 0.6113
legal_question_answering_18895 | 0.7196 | 0.7267 | 0.7232
legal_question_answering_40364 | 0.6973 | 0.5718 | 0.6284
legal_question_answering_21597 | 0.5924 | 0.7023 | 0.6427
legal_question_answering_6837 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_77264 | 0.4134 | 0.7893 | 0.5426
legal_question_answering_58131 | 0.6114 | 0.6675 | 0.6382
legal_question_answering_58498 | 0.6673 | 0.7008 | 0.6836
legal_question_answering_34974 | 0.7493 | 0.7225 | 0.7357
legal_question_answering_46130 | 0.6228 | 0.6789 | 0.6497
legal_question_answering_38385 | 0.7548 | 0.7337 | 0.7441
legal_question_answering_35917 | 0.7769 | 0.7501 | 0.7633
legal_question_answering_47094 | 0.7210 | 0.7341 | 0.7275
legal_question_answering_10285 | 0.6279 | 0.6176 | 0.6227
legal_question_answering_71800 | 0.4349 | 0.7086 | 0.5390
legal_question_answering_71146 | 0.3749 | 0.5538 | 0.4471
legal_question_answering_6647 | 0.8023 | 0.7696 | 0.7856
legal_question_answering_24969 | 0.7600 | 0.7416 | 0.7507
legal_question_answering_16859 | 0.7782 | 0.7018 | 0.7380
legal_question_answering_38697 | 0.6791 | 0.6878 | 0.6834
legal_question_answering_14577 | 0.8827 | 0.7965 | 0.8374
legal_question_answering_48844 | 0.7721 | 0.7345 | 0.7529
legal_question_answering_8636 | 0.6981 | 0.6329 | 0.6639
legal_question_answering_68104 | 0.5566 | 0.8053 | 0.6582
legal_question_answering_14187 | 0.8705 | 0.6821 | 0.7649
legal_question_answering_19437 | 0.6673 | 0.7267 | 0.6957
legal_question_answering_65606 | 0.5981 | 0.6126 | 0.6053
legal_question_answering_27324 | 0.6890 | 0.7592 | 0.7224
legal_question_answering_9366 | 0.5836 | 0.6525 | 0.6161
legal_question_answering_13601 | 0.6282 | 0.6446 | 0.6363
legal_question_answering_68441 | 0.4897 | 0.8161 | 0.6121
legal_question_answering_78228 | 0.8390 | 0.8859 | 0.8618
legal_question_answering_79111 | 0.7608 | 0.9243 | 0.8346
legal_question_answering_18487 | 0.7563 | 0.7735 | 0.7648
legal_question_answering_63030 | 0.6311 | 0.6552 | 0.6429
legal_question_answering_73084 | 0.3655 | 0.6842 | 0.4764
legal_question_answering_73723 | 0.3424 | 0.6044 | 0.4372
legal_question_answering_40646 | 0.6349 | 0.6285 | 0.6317
legal_question_answering_48502 | 0.6756 | 0.7360 | 0.7045
legal_question_answering_38618 | 0.6814 | 0.5977 | 0.6368
legal_question_answering_2253 | 0.7326 | 0.7602 | 0.7462
legal_question_answering_28000 | 0.6787 | 0.7445 | 0.7100
legal_question_answering_67586 | 0.4133 | 0.7524 | 0.5335
legal_question_answering_58142 | 0.6461 | 0.6862 | 0.6656
legal_question_answering_53099 | 0.7535 | 0.7947 | 0.7736
legal_question_answering_16887 | 0.7925 | 0.6923 | 0.7390
legal_question_answering_5071 | 0.6800 | 0.7179 | 0.6984
legal_question_answering_39200 | 0.7472 | 0.7234 | 0.7351
legal_question_answering_18205 | 0.7253 | 0.7739 | 0.7488
legal_question_answering_50256 | 0.7361 | 0.7565 | 0.7462
legal_question_answering_35499 | 0.7687 | 0.8273 | 0.7970
legal_question_answering_37638 | 0.7421 | 0.7938 | 0.7671
legal_question_answering_49057 | 0.7726 | 0.7244 | 0.7477
legal_question_answering_77611 | 0.7451 | 0.7177 | 0.7311
legal_question_answering_50527 | 0.7469 | 0.8009 | 0.7730
legal_question_answering_37403 | 0.7557 | 0.7327 | 0.7440
legal_question_answering_45808 | 0.7420 | 0.7613 | 0.7515
legal_question_answering_38474 | 0.6975 | 0.6960 | 0.6967
legal_question_answering_52979 | 0.5192 | 0.7810 | 0.6238
legal_question_answering_70485 | 0.3532 | 0.4636 | 0.4009
legal_question_answering_6847 | 0.7317 | 0.7454 | 0.7385
legal_question_answering_13688 | 0.7379 | 0.6795 | 0.7075
legal_question_answering_38417 | 0.7174 | 0.6917 | 0.7043
legal_question_answering_60617 | 0.6368 | 0.5824 | 0.6084
legal_question_answering_79032 | 0.5983 | 0.8748 | 0.7106
legal_question_answering_55007 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_20647 | 0.6907 | 0.7382 | 0.7137
legal_question_answering_17515 | 0.7733 | 0.7551 | 0.7641
legal_question_answering_56306 | 0.5674 | 0.6009 | 0.5837
legal_question_answering_37596 | 0.7945 | 0.8432 | 0.8181
legal_question_answering_76815 | 0.9110 | 0.5817 | 0.7100
legal_question_answering_51015 | 0.4454 | 0.4723 | 0.4585
legal_question_answering_54665 | 0.5888 | 0.6067 | 0.5976
legal_question_answering_70714 | 0.3755 | 0.7505 | 0.5006
legal_question_answering_51651 | 0.4609 | 0.5000 | 0.4796
legal_question_answering_26446 | 0.7810 | 0.7674 | 0.7741
legal_question_answering_41569 | 0.7133 | 0.6869 | 0.6999
legal_question_answering_68036 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_43408 | 0.7308 | 0.7429 | 0.7368
legal_question_answering_70904 | 0.3946 | 0.6957 | 0.5036
legal_question_answering_12511 | 0.6148 | 0.6564 | 0.6349
legal_question_answering_26531 | 0.7540 | 0.6475 | 0.6967
legal_question_answering_70086 | 0.3821 | 0.6119 | 0.4704
legal_question_answering_16063 | 0.8031 | 0.7929 | 0.7980
legal_question_answering_2622 | 0.6604 | 0.6646 | 0.6625
legal_question_answering_903 | 0.6644 | 0.6221 | 0.6426
legal_question_answering_52553 | 0.4952 | 0.2911 | 0.3667
legal_question_answering_28160 | 0.7107 | 0.7155 | 0.7131
legal_question_answering_69708 | 0.4556 | 0.5412 | 0.4947
legal_question_answering_37301 | 0.7382 | 0.7159 | 0.7269
legal_question_answering_24330 | 0.6962 | 0.7387 | 0.7168
legal_question_answering_9025 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_27541 | 0.6218 | 0.6607 | 0.6407
legal_question_answering_53689 | 0.7724 | 0.7438 | 0.7578
legal_question_answering_72632 | 0.2928 | 0.4455 | 0.3534
legal_question_answering_63821 | 0.6606 | 0.6877 | 0.6739
legal_question_answering_33183 | 0.7284 | 0.7906 | 0.7582
legal_question_answering_61552 | 0.6341 | 0.6723 | 0.6527
legal_question_answering_67508 | 0.4382 | 0.7119 | 0.5425
legal_question_answering_31014 | 0.6788 | 0.6921 | 0.6854
legal_question_answering_28464 | 0.6726 | 0.6048 | 0.6369
legal_question_answering_42467 | 0.8165 | 0.7929 | 0.8045
legal_question_answering_44262 | 0.6633 | 0.7706 | 0.7129
legal_question_answering_1212 | 0.7808 | 0.7442 | 0.7620
legal_question_answering_17711 | 0.7788 | 0.7328 | 0.7551
legal_question_answering_32509 | 0.8181 | 0.7427 | 0.7785
legal_question_answering_50726 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_53311 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_54183 | 0.8075 | 0.8290 | 0.8181
legal_question_answering_19497 | 0.7717 | 0.7501 | 0.7607
legal_question_answering_46403 | 0.7809 | 0.7755 | 0.7782
legal_question_answering_30993 | 0.7083 | 0.7714 | 0.7385
legal_question_answering_66223 | 0.6994 | 0.7477 | 0.7227
legal_question_answering_2463 | 0.7040 | 0.5760 | 0.6336
legal_question_answering_63537 | 0.5869 | 0.5990 | 0.5929
legal_question_answering_5558 | 0.6375 | 0.5909 | 0.6133
legal_question_answering_62648 | 0.6868 | 0.6895 | 0.6882
legal_question_answering_41299 | 0.6991 | 0.7275 | 0.7130
legal_question_answering_57312 | 0.7813 | 0.8007 | 0.7908
legal_question_answering_19938 | 0.7386 | 0.7644 | 0.7513
legal_question_answering_32992 | 0.7089 | 0.7083 | 0.7086
legal_question_answering_55629 | 0.5058 | 0.3042 | 0.3799
legal_question_answering_11106 | 0.5267 | 0.6910 | 0.5977
legal_question_answering_20525 | 0.7672 | 0.7046 | 0.7346
legal_question_answering_63358 | 0.7404 | 0.7669 | 0.7534
legal_question_answering_21958 | 0.7948 | 0.7764 | 0.7855
legal_question_answering_2264 | 0.6223 | 0.6333 | 0.6278
legal_question_answering_24802 | 0.7296 | 0.7200 | 0.7247
legal_question_answering_15600 | 0.6271 | 0.5439 | 0.5825
legal_question_answering_3431 | 0.5864 | 0.5487 | 0.5669
legal_question_answering_23691 | 0.8676 | 0.8317 | 0.8493
legal_question_answering_36602 | 0.7453 | 0.7285 | 0.7368
legal_question_answering_52608 | 0.7892 | 0.8188 | 0.8038
legal_question_answering_55331 | 0.7778 | 0.8101 | 0.7936
legal_question_answering_29029 | 0.7786 | 0.7526 | 0.7654
legal_question_answering_1853 | 0.6439 | 0.6935 | 0.6678
legal_question_answering_31335 | 0.7134 | 0.8047 | 0.7563
legal_question_answering_47848 | 0.7383 | 0.7285 | 0.7334
legal_question_answering_19578 | 0.6974 | 0.6088 | 0.6501
legal_question_answering_26332 | 0.7779 | 0.6937 | 0.7334
legal_question_answering_78610 | 0.7301 | 0.6688 | 0.6981
legal_question_answering_78403 | 0.7292 | 0.7145 | 0.7218
legal_question_answering_57787 | 0.7152 | 0.7242 | 0.7197
legal_question_answering_33176 | 0.6860 | 0.7644 | 0.7230
legal_question_answering_47577 | 0.6651 | 0.6985 | 0.6814
legal_question_answering_27142 | 0.6852 | 0.7529 | 0.7174
legal_question_answering_4943 | 0.6694 | 0.6663 | 0.6679
legal_question_answering_13353 | 0.7204 | 0.6678 | 0.6931
legal_question_answering_73668 | 0.3582 | 0.5112 | 0.4213
legal_question_answering_30596 | 0.6575 | 0.7428 | 0.6976
legal_question_answering_71021 | 0.3585 | 0.7228 | 0.4793
legal_question_answering_78746 | 0.7820 | 0.9643 | 0.8636
legal_question_answering_32293 | 0.7503 | 0.8120 | 0.7799
legal_question_answering_8407 | 0.7208 | 0.6422 | 0.6792
legal_question_answering_9866 | 0.7106 | 0.6942 | 0.7023
legal_question_answering_55773 | 0.7528 | 0.7488 | 0.7508
legal_question_answering_75644 | 0.8082 | 0.6447 | 0.7172
legal_question_answering_28344 | 0.6855 | 0.6993 | 0.6923
legal_question_answering_67870 | 0.4218 | 0.7436 | 0.5383
legal_question_answering_12078 | 0.6842 | 0.6827 | 0.6834
legal_question_answering_10140 | 0.6496 | 0.6812 | 0.6650
legal_question_answering_59887 | 0.6788 | 0.7178 | 0.6978
legal_question_answering_13988 | 0.8131 | 0.7546 | 0.7828
legal_question_answering_16112 | 0.7953 | 0.7799 | 0.7875
legal_question_answering_76707 | 0.7188 | 0.7064 | 0.7126
legal_question_answering_25778 | 0.7664 | 0.6631 | 0.7110
legal_question_answering_46964 | 0.7715 | 0.8109 | 0.7907
legal_question_answering_247 | 0.6298 | 0.6778 | 0.6529
legal_question_answering_62892 | 0.6047 | 0.6203 | 0.6124
legal_question_answering_59491 | 0.6915 | 0.7370 | 0.7135
legal_question_answering_14492 | 0.6890 | 0.6081 | 0.6460
legal_question_answering_36117 | 0.7475 | 0.8211 | 0.7825
legal_question_answering_13221 | 0.6491 | 0.6242 | 0.6364
legal_question_answering_4550 | 0.7439 | 0.7042 | 0.7235
legal_question_answering_40785 | 0.8032 | 0.7967 | 0.7999
legal_question_answering_39934 | 0.6528 | 0.7212 | 0.6853
legal_question_answering_45201 | 0.5745 | 0.7101 | 0.6352
legal_question_answering_37250 | 0.7798 | 0.7803 | 0.7800
legal_question_answering_75877 | 0.6651 | 0.5931 | 0.6271
legal_question_answering_54901 | 0.7898 | 0.7577 | 0.7734
legal_question_answering_29003 | 0.6928 | 0.7865 | 0.7367
legal_question_answering_66708 | 0.5065 | 0.8660 | 0.6392
legal_question_answering_25493 | 0.7068 | 0.6421 | 0.6729
legal_question_answering_8312 | 0.6622 | 0.7447 | 0.7010
legal_question_answering_62932 | 0.6552 | 0.7373 | 0.6938
legal_question_answering_45222 | 0.7896 | 0.7708 | 0.7801
legal_question_answering_17611 | 0.7449 | 0.6957 | 0.7195
legal_question_answering_21512 | 0.7419 | 0.7707 | 0.7560
legal_question_answering_5511 | 0.7204 | 0.7025 | 0.7114
legal_question_answering_21042 | 0.5833 | 0.6462 | 0.6131
legal_question_answering_21718 | 0.7506 | 0.7224 | 0.7362
legal_question_answering_31671 | 0.7729 | 0.7774 | 0.7751
legal_question_answering_64846 | 0.5309 | 0.5971 | 0.5620
legal_question_answering_595 | 0.7636 | 0.6616 | 0.7089
legal_question_answering_39852 | 0.7360 | 0.5943 | 0.6576
legal_question_answering_9787 | 0.8262 | 0.8324 | 0.8293
legal_question_answering_34424 | 0.7834 | 0.7832 | 0.7833
legal_question_answering_38731 | 0.7693 | 0.7272 | 0.7476
legal_question_answering_57126 | 0.7290 | 0.6329 | 0.6775
legal_question_answering_4626 | 0.8414 | 0.6812 | 0.7529
legal_question_answering_52273 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_32416 | 0.7399 | 0.7349 | 0.7373
legal_question_answering_66845 | 0.3639 | 0.6792 | 0.4739
legal_question_answering_13921 | 0.6640 | 0.6376 | 0.6505
legal_question_answering_9063 | 0.7450 | 0.6280 | 0.6815
legal_question_answering_19224 | 0.6706 | 0.7027 | 0.6863
legal_question_answering_73342 | 0.3359 | 0.5854 | 0.4269
legal_question_answering_33833 | 0.8196 | 0.8170 | 0.8183
legal_question_answering_72823 | 0.3452 | 0.5664 | 0.4290
legal_question_answering_50902 | 0.8095 | 0.7689 | 0.7886
legal_question_answering_59121 | 0.5957 | 0.6070 | 0.6013
legal_question_answering_12379 | 0.7653 | 0.6162 | 0.6827
legal_question_answering_53141 | 0.8020 | 0.7964 | 0.7992
legal_question_answering_70450 | 0.3514 | 0.5403 | 0.4259
legal_question_answering_4276 | 0.6692 | 0.6638 | 0.6665
legal_question_answering_8 | 0.6555 | 0.6513 | 0.6534
legal_question_answering_45137 | 0.7837 | 0.7361 | 0.7592
legal_question_answering_57842 | 0.6769 | 0.6845 | 0.6807
legal_question_answering_71336 | 0.3418 | 0.5078 | 0.4086
legal_question_answering_37698 | 0.6374 | 0.6977 | 0.6662
legal_question_answering_1421 | 0.6412 | 0.6695 | 0.6551
legal_question_answering_11951 | 0.6894 | 0.7215 | 0.7051
legal_question_answering_72969 | 0.3666 | 0.6507 | 0.4690
legal_question_answering_15617 | 0.6491 | 0.7254 | 0.6852
legal_question_answering_8956 | 0.6289 | 0.7536 | 0.6857
legal_question_answering_3062 | 0.7128 | 0.6845 | 0.6984
legal_question_answering_62533 | 0.6301 | 0.6736 | 0.6511
legal_question_answering_42710 | 0.7560 | 0.7985 | 0.7767
legal_question_answering_22160 | 0.6989 | 0.6435 | 0.6700
legal_question_answering_69718 | 0.3434 | 0.5881 | 0.4336
legal_question_answering_62087 | 0.5009 | 0.5993 | 0.5457
legal_question_answering_14669 | 0.7052 | 0.7916 | 0.7459
legal_question_answering_10449 | 0.7112 | 0.6879 | 0.6993
legal_question_answering_63250 | 0.5706 | 0.6221 | 0.5953
legal_question_answering_73746 | 0.3767 | 0.6134 | 0.4668
legal_question_answering_15516 | 0.7137 | 0.7220 | 0.7178
legal_question_answering_31024 | 0.7677 | 0.6977 | 0.7310
legal_question_answering_28789 | 0.7498 | 0.7483 | 0.7490
legal_question_answering_76779 | 0.6700 | 0.6840 | 0.6769
legal_question_answering_16927 | 0.7346 | 0.7973 | 0.7647
legal_question_answering_55252 | 0.5861 | 0.7312 | 0.6507
legal_question_answering_77071 | 0.6012 | 0.8576 | 0.7069
legal_question_answering_53687 | 0.6088 | 0.8367 | 0.7047
legal_question_answering_40456 | 0.5273 | 0.4038 | 0.4573
legal_question_answering_24645 | 0.7764 | 0.8237 | 0.7994
legal_question_answering_30158 | 0.6598 | 0.7746 | 0.7126
legal_question_answering_59824 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_76079 | 0.4108 | 0.6367 | 0.4994
legal_question_answering_50009 | 0.8105 | 0.8170 | 0.8138
legal_question_answering_15733 | 0.7723 | 0.7081 | 0.7388
legal_question_answering_21113 | 0.7313 | 0.6966 | 0.7135
legal_question_answering_8740 | 0.7163 | 0.6540 | 0.6837
legal_question_answering_36744 | 0.8092 | 0.7844 | 0.7966
legal_question_answering_12192 | 0.7861 | 0.7823 | 0.7842
legal_question_answering_2616 | 0.6849 | 0.6743 | 0.6796
legal_question_answering_16978 | 0.7616 | 0.7486 | 0.7551
legal_question_answering_71676 | 0.3806 | 0.6114 | 0.4692
legal_question_answering_26533 | 0.7569 | 0.7886 | 0.7724
legal_question_answering_37062 | 0.6224 | 0.6978 | 0.6579
legal_question_answering_13784 | 0.6416 | 0.6400 | 0.6408
legal_question_answering_8733 | 0.6176 | 0.6177 | 0.6177
legal_question_answering_44735 | 0.7627 | 0.7512 | 0.7569
legal_question_answering_54667 | 0.6948 | 0.7055 | 0.7001
legal_question_answering_69528 | 0.3159 | 0.5052 | 0.3888
legal_question_answering_45783 | 0.6953 | 0.6601 | 0.6772
legal_question_answering_39564 | 0.7202 | 0.5981 | 0.6535
legal_question_answering_46299 | 0.8218 | 0.8196 | 0.8207
legal_question_answering_54356 | 0.4822 | 0.3064 | 0.3747
legal_question_answering_61130 | 0.6155 | 0.5851 | 0.5999
legal_question_answering_12429 | 0.6051 | 0.5764 | 0.5904
legal_question_answering_14222 | 0.0000 | 0.0000 | 0.0000
legal_question_answering_15852 | 0.6824 | 0.6425 | 0.6618
legal_question_answering_32038 | 0.7583 | 0.7258 | 0.7417
legal_question_answering_64931 | 0.6351 | 0.6748 | 0.6543
legal_question_answering_23585 | 0.7937 | 0.7168 | 0.7533
legal_question_answering_56196 | 0.5670 | 0.6203 | 0.5924
legal_question_answering_75441 | 0.4986 | 0.7728 | 0.6061
legal_question_answering_75174 | 0.4179 | 0.6599 | 0.5117
legal_question_answering_12164 | 0.7806 | 0.7075 | 0.7423
legal_question_answering_36940 | 0.8086 | 0.7607 | 0.7839
legal_question_answering_75410 | 0.6626 | 0.8347 | 0.7387
legal_question_answering_42099 | 0.7165 | 0.7199 | 0.7182
legal_question_answering_391 | 0.7723 | 0.7420 | 0.7568
legal_question_answering_55565 | 0.8658 | 0.7975 | 0.8302
legal_question_answering_17390 | 0.7612 | 0.6655 | 0.7102
legal_question_answering_35524 | 0.7345 | 0.6971 | 0.7153
legal_question_answering_62308 | 0.6795 | 0.7225 | 0.7003
legal_question_answering_47909 | 0.7834 | 0.8164 | 0.7995
legal_question_answering_31067 | 0.7133 | 0.7479 | 0.7302
legal_question_answering_31343 | 0.8125 | 0.7669 | 0.7891
legal_question_answering_45486 | 0.7874 | 0.7605 | 0.7737
